team,방어율,타율,승률
WO,4.567643104811242,0.2706505405062717,0.550921175584702
OB,4.506169119986182,0.284678728536466,0.5477495932016876
NC,4.643764492565167,0.2787405884938233,0.5919603870926904
SK,5.427254110926904,0.25782696106633285,0.4106405047536619
LG,4.62772962344456,0.274902259408615,0.492943596760425
KT,4.9183849812363984,0.2725206210099512,0.5020088027512113
LT,5.0271822704109255,0.2711613278549309,0.488329451879794
HT,5.307015319337809,0.2775598468109078,0.4595897735593322
SS,5.360449888528779,0.2757850755794569,0.4324444350274006
HH,5.200823946875164,0.2568675848207866,0.39356029731545056
